,Name,Price
282,"La Garnatxa Fosca 2018/19 Proyecto Garnachas de España, Priorat",£14.99 Mix Six £16.99 per bottle
283,La Màgia Organic Brunello di Montalcino DOCG 2016/17,£35.99 Mix Six £39.99 per bottle
284,La Perlière Beaujolais Villages 2020,£7.99 Mix Six £9.99 per bottle
285,La Réserve de Léoville-Barton St-Julien 2017/18,£32.99 Mix Six £36.99 per bottle
286,"Lâchez-Vous Grenache-Syrah 2019/20, France",£7.99 Mix Six £9.99 per bottle
287,"Langhe Nebbiolo 2019/20 De Forville, Piedmont",£9.99 Mix Six £11.99 per bottle
288,"Lapostolle Cuvée Alexandre Merlot, Apalta DO",£14.99 Mix Six £19.99 per bottle
289,"Las Maletas Malbec 2020/21, Mendoza",£6.99 Mix Six £8.99 per bottle
290,"Las Veletas Carignan Grenache Mourvedre 2019, Maule Valley",£10.99 Mix Six £14.99 per bottle
291,"LB7 Red 2018/20 Magnum, Lisbon",£14.99 Mix Six £16.99 per bottle
292,"LB7 Red 2019 Boxed Wine 2.25L, Lisbon",£19.99 Mix Six £24.99 per bottle
293,"LB7 Red Reserva 2018, Lisbon",£9.99 Mix Six £11.99 per bottle
294,Le Arche Amarone della Valpolicella DOCG 2018,£15.99 Mix Six £20.99 per bottle
295,"Le Cellier des Papes Châteauneuf-du-Pape 2020, Half Bottle",£9.99 Mix Six £11.99 per bottle
296,Le Difese Tenuta San Guido 2018/19,£24.99 Mix Six £27.99 per bottle
297,Le Relais du Roi Cairanne 2019/20,£12.99 Mix Six £14.99 per bottle
298,Léon Perdigal Côtes-du-Rhône 2019/20,£6.99 Mix Six £9.99 per bottle
299,Les Frères Lumière Côtes du Rhône,£6.99 Mix Six £8.99 per bottle
300,"Les Hauts de Castelmaure 2018/19, Corbières",£10.99 Mix Six £13.99 per bottle
301,"LFE 900 Single-Vineyard 2016/17, Colchagua Valley",£14.99 Mix Six £16.99 per bottle
302,"'Lifili' 2020, Salice Salentino",£8.99 Mix Six £9.99 per bottle
303,"Scheid Family Wines ‘Longford Estate’ Pinot Noir 2019, Monterey",£9.99 Mix Six £15.99 per bottle
304,Louis Jadot Beaujolais-Lantignié 2019/20,£9.99 Mix Six £11.99 per bottle
305,Louis Jadot Bourgogne Pinot Noir 'Les Pierres Rouges' 2019/20,£15.99 Mix Six £17.99 per bottle
306,Louis Jadot 'Les Roches Rouges' Mâcon Rouge 2020,£12.99 Mix Six £14.99 per bottle
307,"Louis Latour 'Domaine de Valmoissine' Pinot Noir 2019/20, Var",£11.99 Mix Six £13.99 per bottle
308,"Louis Latour Marsannay Rouge 2018/19, Burgundy",£24.99 Mix Six £27.99 per bottle
309,"Lulu L'Alouette Organic Cabernet Franc 2019, Saumur",£11.99 Mix Six £13.99 per bottle
310,"Lulu L'alouette Organic Cabernet Franc 2019/20, Chinon",£10.99 Mix Six £12.99 per bottle
311,M. Chapoutier 'Belleruche' Côtes du Rhône 2019/20,£9.99 Mix Six £11.99 per bottle
312,Maison Bouachon Côtes du Rhône 2020,£7.99 Mix Six £10.99 per bottle
313,Maison Loron Beaujolais 2020,£7.99 Mix Six £9.99 per bottle
314,"Majestic Fresh and Juicy 2020/21, South Africa",£4.99 Mix Six £5.99 per bottle
315,Majestic Loves Spanish Red 2019,£5.49 Mix Six £6.99 per bottle
316,"Majestic Ripe and Bold 2020/21, South Africa",£4.99 Mix Six £5.99 per bottle
317,"Making Tracks Shiraz 2019/20, South Australia",£8.99 Mix Six £10.99 per bottle
318,"MAN Family Wines 'Outentiek' Syrah 2020, South Africa",£8.99 Mix Six £9.99 per bottle
319,"Managers' Choice: VIK 'A' Cabernet Sauvignon 2018/20, Cachapoal Valley",£15.99 Mix Six £19.99 per bottle
320,"Marcarini Barolo del Comune di La Morra 2016/17, Italy",£28.99 Mix Six £32.99 per bottle
321,"Marcelo Pelleriti Malbec 2020, Mendoza",£8.99 Mix Six £12.99 per bottle
322,"Marea Syrah 2019/20, Chile",£12.99 Mix Six £15.99 per bottle
323,Marqués de Altillo Rioja 2020,£5.49 Mix Six £10.99 per bottle
324,"Marquês de Borba ‘Vinhas Velhas’ 2018/19, Alentejo",£11.99 Mix Six £14.99 per bottle
325,Marqués de Cáceres Rioja Crianza 2017/18,£9.99 Mix Six £11.99 per bottle
326,Marqués de Riscal Gran Reserva Rioja 2014/15,£28.99 Mix Six £32.99 per bottle
327,Marqués de Riscal Rioja Reserva 2016/17,£11.99 Mix Six £16.99 per bottle
328,"Matias Riccitelli 'Hey Malbec!' 2020, Mendoza",£10.99 Mix Six £12.99 per bottle
329,"Mayu Carménère Appassimento 2018, Chile",£9.99 Mix Six £12.99 per bottle
330,"Mayu 'Titon Vineyard' Syrah Gran Reserva 2017, Chile",£9.99 Mix Six £13.99 per bottle
331,"Mendel Selection Malbec 2018, Mendoza",£19.99 Mix Six £22.99 per bottle
332,Michele Satta Bolgheri Organic Rosso DOC 2019,£19.99 Mix Six £23.99 per case
333,"Mollydooker 'The Boxer' Shiraz 2018/19, Australia",£26.99 Mix Six £28.00 per bottle
334,"Montes ‘Purple Angel’ Carménère 2017/18, Colchagua Valley",£59.99 Mix Six £66.99 per bottle
335,"Montes 'Reserva' Malbec 2019/20, Colchagua Valley",£8.99 Mix Six £9.99 per bottle
336,Morande Reserva One to One Pais 2019,£7.99 Mix Six £8.99 per bottle
337,"Mt Difficulty 'Roaring Meg' Pinot Noir 2019/20, Central Otago",£18.99 Mix Six £21.99 per bottle
338,"Mud House 'Claim 431' Pinot Noir 2017/20, Central Otago",£24.99 Mix Six £28.99 per bottle
339,"Mud House Pinot Noir 2019/20, Central Otago",£10.99 Mix Six £13.99 per bottle
340,Muga Rioja Prado Enea Gran Reserva 2014,£44.99 Mix Six £49.99 per bottle
341,Muga Rioja Reserva 2017/18,£17.99 Mix Six £19.99 per bottle
342,"Naudin Père et Fils Pinot Noir 2020, France",£8.99 Mix Six £10.99 per bottle
343,"Negrar Il Viaggio Appassimento 2019/20, Veneto",£9.99 Mix Six £12.99 per bottle
344,"Nero Oro Appassimento 2019/20 Magnum, Sicily",£17.99 Mix Six £19.99 per bottle
345,"Nero Oro Riserva 2017/18, Sicily",£11.99 Mix Six £14.99 per bottle
346,Nicolas Potel Bourgogne Pinot Noir 2019/20,£12.99 Mix Six £14.99 per bottle
347,"Nicosia Nerello Mascalese 2020, IGT Terre Siciliane",£8.99 Mix Six £10.99 per bottle
348,"Olivier Dubois 'Cuvée Prestige' Pinot Noir 2020/21, Loire",£8.99 Mix Six £9.99 per bottle
349,"Ornellaia 'Le Serre Nuove dell'Ornellaia' 2018/19, Bolgheri",£44.99 Mix Six £49.99 per bottle
350,"Our Stellie Pledge Cabernet 2019, Stellenbosch",£14.99 Mix Six £16.99 per bottle
351,"Oyster Bay Merlot 2019/20, Hawke's Bay",£9.99 Mix Six £11.29 per bottle
352,"P.S Garcia Pinot Noir 2018, Casablanca Valley",£14.99 Mix Six £19.99 per bottle
353,Pardon et Fils 'Les Diamantines' Saint-Amour 2020,£9.99 Mix Six £14.99 per bottle
354,"Pasqua 'PassioneSentimento' Passimento Rosso 2019/20, Veneto",£8.99 Mix Six £11.99 per bottle
355,Paul Jaboulet Aîné ‘La Maison Bleue’ Hermitage Organic 2016,£62.99 Mix Six £69.99 per bottle
356,Paul Jaboulet Aîné 'Parallèle 45' Organic Côtes du Rhône 2019/20,£10.99 Mix Six £12.99 per bottle
357,"Pelleriti 'Signature' Malbec 2019, Mendoza",£15.99 Mix Six £17.99 per bottle
358,"Penfolds 'Bin 707' 2019, South Australia",£390.00 Mix Six £440.00 per bottle
359,Penfolds Father Tawny,£19.99 Mix Six £24.99 per bottle
